"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","12","0","0","7","65"
"2","ALWAR","46","0","0","2","38"
"3","BANSWARA","0","0","0","0","0"
"4","BARAN","28","0","0","2","2"
"5","BARMER","5","0","0","0","0"
"6","BHARATPUR","1","0","0","0","1"
"7","BHILWARA","22","0","0","0","0"
"8","BIKANER","18","0","0","0","4"
"9","BUNDI","1","0","0","0","0"
"10","CHITTORGARH","1","0","0","0","4"
"11","CHURU","3","0","0","0","0"
"12","DAUSA","1","0","0","0","1"
"13","DHOLPUR","2","0","0","0","0"
"14","DUNGARPUR","1","0","0","2","0"
"15","GANGANAGAR","1","0","0","0","1"
"16","HANUMANGARH","13","0","0","0","1"
"17","JAIPUR","239","6","0","4","91"
"18","JAISALMER","1","0","0","0","0"
"19","JALORE","14","0","0","0","0"
"20","JHALAWAR","3","0","0","1","2"
"21","JHUNJHUNU","4","0","0","0","1"
"22","JODHPUR","78","2","0","3","49"
"23","KARAULI","22","0","0","0","3"
"24","KOTA","109","0","0","0","38"
"25","NAGAUR","0","0","0","0","4"
"26","PALI","20","2","0","1","18"
