"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","8,953"
"2","Number of persons tested positive today in Tamil Nadu","772"
"3","Total Number of persons tested positive till date","27,18,750"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,02,383/ 
5,31,56,461@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,02,088/ 
5,22,26,976"
"6","No. of Male / Female / Transgender tested positive today","461/311/0"
"7","No. of Male / Female / Transgender tested positive till date","15,86,815/11,31,897/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","310 (69 Govt+ 
241$ Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","884/ 
26,73,448"
"10","Total number of deaths today/ till date","13(7 Private &  
6 Govt) /36,349)"
