"D
      
GOVERNMENT OF KARNATAKA 
 
DEPARTMENT OF HEALTH & FAMILY WELFARE 
 
COVID-19 
 
MEDIA BULLETIN 
ATE: 06.08.2022","","","","","",""
"","","","","","",""
"","The first case of Corona Virus infection, which has caused a pandemic  resulting in catastrophic 
health 
implications  and  human  miseries 
throughout 
the  globe,  was  detected 
in 
state  on 
08.03.2020. It was a case of international traveler returning to Bengaluru Urban. 
A robust surveillance system with elaborate contingency plan is in place for limiting the spread of 
the disease.  
In  the  fight  against  COVID-19  pandemic  an  effective 
intervention  in 
the  form  of  COVID 
vaccination  has  been  implemented  in  Karnataka  since  January  16th  2021  as  per  Government  of 
India operational guidelines. 
The state is addressing the ongoing challenge of COVID 19 through the 5 pillars of Management 
i.e., “Test- Track- Treat- Vaccinate and Adherence to COVID Appropriate Behaviour”.","","","","",""
"","","","","","",""
"","","1","Today’s Discharges","1741","",""
"","","2","Total Discharges","3966739","",""
"","","3","Today's Tests Conducted","28118","",""
"","","4","Total Tests Conducted","67995010","",""
"","","5","Today’s New Cases Reported (05.08.2022, 00:00 to 23:59)","1694","",""
"","","6","Total Active Cases","11355","",""
"","","7","Today's Deaths Reported","1","",""
"","","8","Total Covid Deaths","40114","",""
"","","9","Total Positive Cases","4018250","",""
"","","10","Positivity Rate for the day (05.08.2022, 00:00 to 23:59)","6.02%","",""
"","","11","*Weekly Total Positivity Rate","6.33%","",""
"","","12","Case Fatality Rate (CFR) for the day (05.08.2022, 00:00 to 23:59)","0.05%","",""
"","","13","*Weekly Case Fatality Rate","0.09%","",""
"*From  31-07-2022 to  06-08-2022 
Particulars 
Today’s 
Cumulative 
A 
Total Passengers screened at Air ports 
8922* 
1329704 
          *Date: 04-08-2022 & 05-08-2022 
 
Date: 06-08-2022 
Page 1 of 10","","","","","",""
