"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1885037","20875501"
"2","Total No. of patients tested Positive","24490","785018"
"3","No. of patients discharged","24108","764382"
"4","Total Deaths reported","207","20512"
"5","Sample collected on the day","","6418"
"6","Test conducted on the day","","6326"
"7","Positive cases on the day","","29"
"8","Number of active Cases","","124"
"9","No. of Patients on oxygen support","","2"
"10","Patients at critical care Level-3 facilities","","0"
"11","Patients who are critical and on ventilator support","","1"
"12","Healthcare Workers vaccinated with 1st dose on the day","","0"
"13","Total Healthcare Workers vaccinated with 1st dose","","218890"
"14","Frontline Workers vaccinated with 1st dose on the day","","0"
"15","Total Frontline Workers vaccinated with 1st dose","","1117950"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","1"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211991"
"18","Frontline Workers vaccinated with 2nd dose on the day","","6"
"19","Total Frontline Workers vaccinated with 2nd dose","","1019337"
"20","Above 45 Vaccinated with 1st dose on the day","","20"
"21","Total Above 45 Vaccinated with 1st dose","","8346980"
"22","Above 45 Vaccinated with 2nd dose on the day","","87"
"23","Total Above 45 Vaccinated with 2nd dose","","7653533"
"24","18-44 years age group Vaccinated with 1st dose on the day","","104"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12662810"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","388"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10702563"
"28","15-17 years age group Vaccinated with 1st dose on the day","","72"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1115084"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","436"
"31","Total 15-17 years age group Vaccinated with 2nddose","","865114"
"32","12-14 years age group Vaccinated with 1st dose on the day","","512"
"33","Total 12-14 years age group Vaccinated with 1st dose","","681231"
"34","12-14 years age group Vaccinated with 2nddose on the day","","773"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","491491"
"36","Precautionary dose given on the day","","1394"
"37","Total Precautionary dose given","","1800221"
"38","Total Vaccination 1st dose on the day","","124"
"39","Total Vaccination 2nd dose on the day","","482"
"40","Total Vaccination 1st and 2nd dose on the day","","606"
