"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","3","0","0","0","57"
"2","ALWAR","36","0","0","7","23"
"3","BANSWARA","52","0","0","0","0"
"4","BARAN","17","0","0","0","2"
"5","BARMER","0","0","0","0","0"
"6","BHARATPUR","6","0","0","0","1"
"7","BHILWARA","38","0","0","0","0"
"8","BIKANER","11","0","0","0","4"
"9","BUNDI","0","0","0","0","0"
"10","CHITTORGARH","4","0","0","0","4"
"11","CHURU","0","0","0","0","0"
"12","DAUSA","1","0","0","0","1"
"13","DHOLPUR","0","0","0","0","0"
"14","DUNGARPUR","0","0","0","0","0"
"15","GANGANAGAR","0","0","0","0","1"
"16","HANUMANGARH","5","0","0","0","2"
"17","JAIPUR","345","0","0","7","88"
"18","JAISALMER","0","0","0","0","0"
"19","JALORE","0","0","0","0","0"
"20","JHALAWAR","10","0","0","0","2"
"21","JHUNJHUNU","8","0","0","0","1"
"22","JODHPUR","37","1","0","7","43"
"23","KARAULI","0","0","0","0","3"
"24","KOTA","48","2","0","9","25"
"25","NAGAUR","0","0","0","1","3"
"26","PALI","0","0","0","3","15"
