"S. No","Subject","Number"
"1","Total Number of people vaccinated on 11th Jan","9,79,560"
"2","First Dose on 11th Jan","3,81,985"
"3","Second Dose on 11th Jan","5,62,330"
"4","Precaution Dose on 11th Jan","35,245"
"5","Cumulative Vaccination till 11th Jan","10,98,00,086"
"6","Cumulative Vaccination First Dose","6,67,82,927"
"7","Cumulative Vaccination Second Dose","4,29,81,914"
"8","Cumulative Precaution Dose","35,245"
"9","Number of CVC (Common Vaccination Centres)","6,232"
"10","Cumulative AEFI cases reported","6,551"
"11","Vaccine wastage","-7%"
