"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","21586","","4814","","26400",""
"2","Total Active Cases","698 
(3.2%)","","442 
(9.2%)","","1140 
(4.3%)",""
"3","Total Cured/ Discharged","20721 
(95.9%)","","4313                                  
(89.6%)","","(94.8%)",""
"4","Total Died","167 
(0.77%)","","59 
(1.2%)","","226 
(0.86%)",""
"5","Total Positive cases admitted in COVID 
Hospital","12","","12","","24",""
"6","Total Positive cases in Home Isolation","586","","429","","1015",""
"7","COVID Care Centre","76","","01","","77",""
"8","Facility Isolation","24","","0","","24",""
"9","No. of Samples Tested (Today)","511","","726","","1237",""
"10","No. of Samples Positive (Today)","106","","108","","214",""
"11","No. of Samples Negative (Today)","405","","618","","1023",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","416 
          00 
      00 
           74 
          490"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(01/01/2022)","","Test Done Today 
(02/02/2022)","","Cumulative"
"","","a)  RTPCR","278232","","999","","279231"
"","","b)  TRUENAT","11707","","26","","11733"
"","","c)  RAT","343897","","176","","344073"
"","","d)  CBNAAT","353","","36","","389"
"","","TOTAL","634189","","1237","","635426"
