"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23702","","5319","","29021",""
"2","Total Active Cases","110 
(0.46%)","","08 
(0.15%)","","118 
(0.4%)",""
"3","Total Cured/Discharged","23424 
(98.8%)","","5251 
(98.7%)","","28675 
(98.8%)",""
"4","Total Died","168 
(0.72%)","","60 
(1.1%)","","228 
(0.79%)",""
"5","Total Positive cases admitted in COVID 
Hospital","18","","00","","18",""
"6","Total Positive cases in Home Isolation","81","","08","","89",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","11","","00","","11",""
"9","No. of Samples Tested (Today)","277","","53","","330",""
"10","No. of Samples Positive (Today)","16","","01","","17",""
"11","No. of Samples Negative (Today)","260","","52","","312",""
"12","Repeat Positive/ Resampling (Today)","01","","00","","01",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","47 
00 
08 
00 
55"
"14","COVID-19Total Tests done by UT of Ladakh(Cumulative)","Type of Test","Test Done Till 
(07/08/2022)","","Test Done Today 
(08/08/2022)","","Cumulative"
"","","a)RTPCR","33960","","125","","34085"
"","","b)TRUENAT","14749","","00","","14749"
"","","c)RAT","357217","","205","","357422"
"","","d)  CBNAAT","1183","","00","","1183"
"","","TOTAL","707109","","330","","707439"
