"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","232235","19221095"
"2","Total No. of patients tested Positive","383","759476"
"3","No. of patients discharged","300","741550"
"4","Total Deaths reported","4","17748"
"5","Sample collected on the day","","9595"
"6","Test conducted on the day","","7015"
"7","Positive cases on the day","","34"
"8","Number of active Cases","","178"
"9","No. of Patients on oxygen support","","6"
"10","Patients at critical care Level-3 facilities","","0"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","1"
"13","Total Healthcare Workers vaccinated with 1st dose","","218535"
"14","Frontline Workers vaccinated with 1st dose on the day","","11"
"15","Total Frontline Workers vaccinated with 1st dose","","1116988"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","41"
"17","Total Healthcare Workers vaccinated with 2nd dose","","209287"
"18","Frontline Workers vaccinated with 2nd dose on the day","","153"
"19","Total Frontline Workers vaccinated with 2nd dose","","1009205"
"20","Above 45 Vaccinated with 1st dose on the day","","740"
"21","Total Above 45 Vaccinated with 1st dose","","8277440"
"22","Above 45 Vaccinated with 2nd dose on the day","","9333"
"23","Total Above 45 Vaccinated with 2nd dose","","6935966"
"24","18-44 years age group Vaccinated with 1st dose on the day","","2783"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12454586"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","21837"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","9194661"
"28","15-17 years age group Vaccinated with 1st dose on the day","","3813"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1017588"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","7074"
"31","Total 15-17 years age group Vaccinated with 2nd dose","","575264"
"32","12-14 years age group Vaccinated with 1st dose on the day","","8568"
"33","Total 12-14 years age group Vaccinated with 1st dose","","411256"
"34","12-14 years age group Vaccinated with 2nd dose on the day","","11002"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","54156"
"36","Precautionary dose given on the day","","5363"
"37","Total Precautionary dose given","","522317"
"38","Total Vaccination 1st dose on the day","","3535"
"39","Total Vaccination 2nd dose on the day","","31364"
"40","Total Vaccination 1st and 2nd dose on the day","","34899"
