"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total
Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","65","109842","52","107541","1","2280","21"
"2","SAS Nagar","72","95763","43","94576","0","1148","39"
"3","Jalandhar","55","78332","34","76734","0","1578","20"
"4","Patiala","32","62069","21","60593","0","1458","18"
"5","Amritsar","16","59411","10","57718","0","1682","11"
"6","Bathinda","12","50883","14","49792","0","1088","3"
"7","Hoshiarpur","36","40874","24","39756","0","1096","22"
"8","Gurdaspur","9","26949","8","26081","1","865","3"
"9","Pathankot","20","24556","16","24049","0","495","12"
"10","Fazilka","6","23404","16","22855","0","545","4"
"11","Muktsar","4","22558","7","22017","0","539","2"
"12","Kapurthala","16","22049","13","21465","1","580","4"
"13","Ropar","3","17941","2","17485","0","455","1"
"14","Ferozepur","7","17906","6","17366","0","537","3"
"15","Mansa","1","17229","1","16837","0","392","0"
"16","Faridkot","10","16796","10","16451","0","338","7"
"17","Sangrur","0","14308","0","13573","0","735","0"
"18","SBS Nagar","10","13412","12","13000","0","409","3"
"19","FG Sahib","5","11839","2","11482","0","354","3"
"20","Moga","1","10988","2","10733","1","255","0"
"21","Tarn Taran","1","10900","0","10505","0","394","1"
"22","Barnala","2","7500","7","7150","0","349","1"
"23","Malerkotla","0","3967","0","3791","0","176","0"
"","Total","383","759476","300","741550","4","17748","178"
