"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","441"
"2","Number of persons tested positive today in Tamil Nadu","40"
"3","Total Number of persons tested positive till date","34,54,431"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","12,231/ 
6,63,25,484@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","12,213/ 
6,51,48,489"
"6","No. of Male / Female / Transgender tested positive today","22/18/0"
"7","No. of Male / Female / Transgender tested positive till date","20,16,022/14,38,371/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","336 (69 Govt+ 
267Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","53/ 
34,15,965"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
