"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"11","Solapur","227130","221220","5879","31"
"12","Nashik","473228","464159","8911","158"
"13","Ahmednagar","377853","370542","7242","69"
"14","Jalgaon","149586","146808","2762","16"
"15","Nandurbar","46620","45657","962","1"
"16","Dhule","50794","50118","670","6"
"17","Aurangabad","176642","172308","4284","50"
"18","Jalna","66340","65112","1224","4"
"19","Beed","109227","106340","2885","2"
"20","Latur","104993","102460","2489","44"
"21","Parbhani","58590","57301","1279","10"
"22","Hingoli","22190","21668","514","8"
"23","Nanded","102695","99984","2704","7"
"24","Osmanabad","75191","73039","2139","13"
"25","Amravati","106003","104358","1624","21"
"26","Akola","66222","64734","1470","18"
"27","Washim","45703","45025","641","37"
"28","Buldhana","92055","91199","836","20"
"29","Yavatmal","81993","80165","1820","8"
"30","Nagpur","577046","567522","9215","309"
"31","Wardha","65713","64281","1408","24"
"32","Bhandara","68000","66823","1142","35"
"33","Gondia","45443","44841","587","15"
"34","Chandrapur","98917","97282","1592","43"
