"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23754","","5323","","29077",""
"2","Total Active Cases","68 
(0.28%)","","05 
(0.1%)","","73 
(0.25%)",""
"3","Total Cured/Discharged","23518 
(99%)","","5258 
(98.8%)","","28776 
(98.9%)",""
"4","Total Died","168 
(0.72%)","","60 
(1.1%)","","228 
(0.79%)",""
"5","Total Positive cases admitted in COVID 
Hospital","14","","00","","14",""
"6","Total Positive cases in Home Isolation","51","","05","","56",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","03","","00","","03",""
"9","No. of Samples Tested (Today)","117","","41","","158",""
"10","No. of Samples Positive (Today)","03","","00","","03",""
"11","No. of Samples Negative (Today)","114","","41","","155",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","62 
70 
02 
00 
134"
"14","COVID-19Total Tests done by UT of Ladakh(Cumulative)","Type of Test","Test Done Till 
(13/08/2022)","","Test Done Today 
(14/08/2022)","","Cumulative"
"","","a)RTPCR","34539","","83","","34622"
"","","b)TRUENAT","14785","","02","","14787"
"","","c)RAT","357879","","73","","357952"
"","","d)  CBNAAT","1196","","00","","1196"
"","","TOTAL","708399","","158","","708557"
