"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","547697","19536564"
"2","Total No. of patients tested Positive","1181","760258"
"3","No. of patients discharged","1147","742397"
"4","Total Deaths reported","6","17752"
"5","Sample collected on the day","","10603"
"6","Test conducted on the day","","10512"
"7","Positive cases on the day","","17"
"8","Number of active Cases","","109"
"9","No. of Patients on oxygen support","","0"
"10","Patients at critical care Level-3 facilities","","0"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","0"
"13","Total Healthcare Workers vaccinated with 1st dose","","218610"
"14","Frontline Workers vaccinated with 1st dose on the day","","7"
"15","Total Frontline Workers vaccinated with 1st dose","","1117225"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","24"
"17","Total Healthcare Workers vaccinated with 2nd dose","","210011"
"18","Frontline Workers vaccinated with 2nd dose on the day","","79"
"19","Total Frontline Workers vaccinated with 2nd dose","","1012086"
"20","Above 45 Vaccinated with 1st dose on the day","","851"
"21","Total Above 45 Vaccinated with 1st dose","","8312141"
"22","Above 45 Vaccinated with 2nd dose on the day","","9496"
"23","Total Above 45 Vaccinated with 2nd dose","","7236627"
"24","18-44 years age group Vaccinated with 1st dose on the day","","3252"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12549381"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","19757"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","9807653"
"28","15-17 years age group Vaccinated with 1st dose on the day","","1793"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1070422"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","4237"
"31","Total 15-17 years age group Vaccinated with 2nd dose","","697429"
"32","12-14 years age group Vaccinated with 1st dose on the day","","5111"
"33","Total 12-14 years age group Vaccinated with 1st dose","","562800"
"34","12-14 years age group Vaccinated with 2nd dose on the day","","6675"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","250838"
"36","Precautionary dose given on the day","","4173"
"37","Total Precautionary dose given","","627017"
"38","Total Vaccination 1st dose on the day","","4110"
"39","Total Vaccination 2nd dose on the day","","29356"
"40","Total Vaccination 1st and 2nd dose on the day","","33466"
