"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","158","109935","153","107642","1","2280","13"
"2","SAS Nagar","311","96002","276","94809","1","1149","44"
"3","Jalandhar","108","78379","91","76791","0","1578","10"
"4","Patiala","207","62238","207","60779","0","1457","2"
"5","Amritsar","68","59465","67","57775","0","1682","8"
"6","Bathinda","45","50914","41","49819","0","1088","7"
"7","Hoshiarpur","51","40891","60","39792","0","1096","3"
"8","Gurdaspur","18","26957","18","26091","1","865","1"
"9","Pathankot","39","24572","40","24073","0","495","4"
"10","Fazilka","22","23420","31","22870","0","545","5"
"11","Muktsar","6","22560","11","22021","0","539","0"
"12","Kapurthala","31","22066","31","21483","1","583","0"
"13","Ropar","27","17965","25","17508","0","455","2"
"14","Ferozepur","17","17916","14","17374","0","537","5"
"15","Mansa","5","17233","3","16839","1","393","1"
"16","Faridkot","24","16807","27","16468","0","338","1"
"17","Sangrur","0","14308","0","13573","0","735","0"
"18","SBS Nagar","20","13422","24","13012","0","409","1"
"19","FG Sahib","8","11842","8","11488","0","354","0"
"20","Moga","5","10993","5","10736","1","255","2"
"21","Tarn Taran","4","10902","3","10508","0","394","0"
"22","Barnala","7","7504","12","7155","0","349","0"
"23","Malerkotla","0","3967","0","3791","0","176","0"
"","Total","1181","760258","1147","742397","6","17752","109"
