"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","16","8","0","1","65"
"2","ALWAR","18","0","0","0","18"
"3","BANSWARA","0","0","0","0","0"
"4","BARAN","25","0","0","0","8"
"5","BARMER","17","0","0","0","0"
"6","BHARATPUR","10","0","0","0","3"
"7","BHILWARA","8","0","0","0","1"
"8","BIKANER","68","0","0","1","9"
"9","BUNDI","0","0","0","1","1"
"10","CHITTORGARH","9","0","0","3","8"
"11","CHURU","25","0","0","0","0"
"12","DAUSA","12","0","0","0","0"
"13","DHOLPUR","1","0","0","0","0"
"14","DUNGARPUR","1","0","0","0","15"
"15","GANGANAGAR","7","0","0","0","2"
"16","HANUMANGARH","13","0","0","0","0"
"17","JAIPUR","381","3","0","7","62"
"18","JAISALMER","1","0","0","0","0"
"19","JALORE","23","0","0","0","0"
"20","JHALAWAR","2","0","0","0","4"
"21","JHUNJHUNU","7","0","0","0","0"
"22","JODHPUR","81","1","0","0","31"
"23","KARAULI","21","0","0","0","1"
"24","KOTA","158","0","0","0","44"
"25","NAGAUR","8","0","0","0","0"
"26","PALI","32","0","0","0","11"
