"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22949","","5276","","28225",""
"2","Total Active Cases","06 
(0.03%)","","01 
(0.02%)","","07 
(0.02%)",""
"3","Total Cured/Discharged","22775 
(99.24%)","","5215 
(98.8%)","","27990 
(99.2%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","03","","0","","03",""
"6","Total Positive cases in Home Isolation","03","","01","","04",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","00","","00","","00",""
"9","No. of Samples Tested (Today)","182","","10","","192",""
"10","No. of Samples Positive (Today)","00","","01","","01",""
"11","No. of Samples Negative (Today)","182","","09","","191",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg 
(Drass)c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","47 
00 
00 
23 
70"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(02/04/2022)","","Test Done Today 
(03/04/2022)","","Cumulative"
"","","a)RTPCR","316890","","168","","317058"
"","","b)TRUENAT","13060","","20","","13080"
"","","c)RAT","347603","","04","","347607"
"","","d)  CBNAAT","959","","00","","959"
"","","TOTAL","678512","","192","","678704"
