"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Dis
charged","Cumulative 
Recovered/Dis
charged","Active  
case"
"1","AJMER","662739","24","37930","0","410","2","37457","63"
"2","ALWAR","1325762","11","59797","0","307","3","59439","51"
"3","BANSWARA","256633","2","10007","0","104","0","9901","2"
"4","BARAN","179554","0","12000","0","61","0","11939","0"
"5","BARMER","344204","1","15587","0","186","0","15399","2"
"6","BHARATPUR","398989","1","19615","0","260","1","19346","9"
"7","BHILWARA","421443","6","29823","0","156","2","29635","32"
"8","BIKANER","620850","4","40453","0","546","3","39859","48"
"9","BUNDI","189035","0","7967","0","48","0","7919","0"
"10","CHITTORGARH","380121","3","19812","0","139","0","19670","3"
"11","CHURU","344771","0","16724","0","108","0","16615","1"
"12","DAUSA","226682","0","13359","0","62","0","13294","3"
"13","DHOLPUR","235795","1","11016","0","48","0","10962","6"
"14","DUNGARPUR","263628","0","18412","0","131","0","18281","0"
"15","GANGANAGAR","354135","4","19385","0","151","0","19211","23"
"16","HANUMANGARH","414184","2","16083","0","111","0","15965","7"
"17","JAIPUR","2666265","224","189222","0","1971","8","186239","1012"
"18","JAISALMER","214165","0","13651","0","66","0","13585","0"
"19","JALORE","393110","0","10068","0","72","0","9996","0"
"20","JHALAWAR","312851","0","13614","0","187","0","13426","1"
"21","JHUNJHUNU","409034","2","14834","0","160","1","14666","8"
"22","JODHPUR","1198610","34","112603","0","1103","6","111346","154"
"23","KARAULI","189525","0","7156","0","70","0","7086","0"
