"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/
Discharged","Cumulative 
Recovered/
Discharged","Active  
case"
"1","AJMER","683295","287","39205","0","411","94","37674","1120"
"2","ALWAR","1355028","755","62367","0","309","79","59624","2434"
"3","BANSWARA","265493","37","10234","0","104","10","9922","208"
"4","BARAN","186877","46","12080","0","61","0","11939","80"
"5","BARMER","353871","319","16432","0","186","2","15403","843"
"6","BHARATPUR","411836","364","20965","0","260","37","19419","1286"
"7","BHILWARA","435980","218","30653","0","156","21","29694","803"
"8","BIKANER","634395","495","42110","0","546","12","39924","1640"
"9","BUNDI","195092","26","8057","0","48","0","7919","90"
"10","CHITTORGARH","393681","267","20758","0","139","98","19795","824"
"11","CHURU","359738","105","16972","0","108","1","16617","247"
"12","DAUSA","235665","92","13741","0","62","2","13304","375"
"13","DHOLPUR","241994","11","11094","0","48","1","10970","76"
"14","DUNGARPUR","281476","86","18701","0","131","0","18281","289"
"15","GANGANAGAR","360693","47","19713","0","151","7","19247","315"
"16","HANUMANGARH","430024","117","16327","0","111","3","15975","241"
"17","JAIPUR","2785947","3659","207302","2","1980","744","188403","16919"
"18","JAISALMER","219152","75","13870","0","66","0","13585","219"
"19","JALORE","403952","0","10070","0","72","0","9996","2"
"20","JHALAWAR","323420","76","13881","0","187","6","13447","247"
"21","JHUNJHUNU","418713","59","14959","0","160","0","14675","124"
"22","JODHPUR","1231497","591","116864","0","1105","360","112301","3458"
"23","KARAULI","197510","0","7164","0","71","2","7090","3"
