"1","Total Samples taken","*16162625"
"2","Sample collected on the day","24846"
"3","Test conducted on the day","24272"
"4","Total No. of patients tested Positive","603320"
"5","No. of patients discharged","586384"
"6","Number of active Cases","331"
"7","Total Deaths reported","16605"
"8","No. of Patients on oxygen support","31"
"9","Patients at critical care Level-3 facilities","10"
"10","Patients who are critical and on ventilator support","2"
"11","Healthcare Workers vaccinated with 1st dose on the day","164"
"12","Total Healthcare Workers vaccinated with 1st dose","217008"
"13","Frontline Workers vaccinated with 1st dose on the day","16"
"14","Total Frontline Workers vaccinated with 1st dose","1153214"
"15","Healthcare Workers vaccinated with 2nd dose on the day","129"
"16","Total Healthcare Workers vaccinated with 2nd dose","138924"
"17","Frontline Workers vaccinated with 2nd dose on the day","65"
"18","Total Frontline Workers vaccinated with 2nd dose","337466"
"19","COVID-19 Vaccinated with 1st dose on the day 
(Healthcare + Frontline Workers)","180"
"20","COVID-19 Vaccinated with 2nd dose on the day 
(Healthcare + Frontline Workers)","194"
"21","Total COVID-19 Vaccinated with 1st dose 
(Healthcare + Frontline Workers)","1370222"
"22","Total COVID-19 Vaccinated with 2nd dose 
(Healthcare + Frontline Workers)","476390"
"23","Above 45 Vaccinated with 1st dose on the day","8241"
"24","Total Above 45 Vaccinated with 1st dose","6311401"
"25","Above 45 Vaccinated with 2nd dose on the day","18445"
"26","Total Above 45 Vaccinated with 2nd dose","3371743"
"27","18-44 years age group Vaccinated with 1st dose on the day","17817"
"28","Total 18-44 years age group Vaccinated with 1st dose","8770018"
"29","18-44 years age group Vaccinated with 2nd dose on the day","42652"
"30","Total 18-44 years age group Vaccinated with 2nd dose","3833718"
"31","Total Vaccination 1st dose on the day","26238"
"32","Total Vaccination 2nd  dose on the day","61291"
"33","Total Vaccination 1st  and 2nd dose on the day","87529"
