"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23866","","5334","","29200",""
"2","Total Active Cases","47 
(0.19%)","","03 
(0.06%)","","50 
(0.17%)",""
"3","Total Cured/Discharged","23649 
(99.1%)","","5271 
(98.8%)","","28920 
(99%)",""
"4","Total Died","170 
(0.71%)","","60 
(1.1%)","","230 
(0.79%)",""
"5","Total Positive cases admitted in COVID 
Hospital","07","","0","","07",""
"6","Total Positive cases in Home Isolation","36","","03","","39",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","04","","00","","04",""
"9","No. of Samples Tested (Today)","79","","10","","89",""
"10","No. of Samples Positive (Today)","02","","00","","02",""
"11","No. of Samples Negative (Today)","77","","10","","87",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","49 
00 
00 
00 
49"
"14","COVID-19Total Tests done by UT of Ladakh(Cumulative)","Type of Test","Test Done Till 
(27/08/2022)","","Test Done Today 
(28/08/2022)","","Cumulative"
"","","a)RTPCR","36291","","72","","36363"
"","","b)TRUENAT","14929","","08","","14937"
"","","c)RAT","362282","","09","","362291"
"","","d)  CBNAAT","1225","","00","","1225"
"","","TOTAL","714727","","89","","714816"
