"District Name","New 
Cases","New 
Recoveries","New 
Deaths","Total 
Cases","Total 
Deaths","Total 
Active 
Cases","Number of 
persons 
hospitalised"
"East Garo Hills","0","0","0","2046","17","0","0"
"East Jaintia Hills","0","0","0","2614","38","4","0"
"East Khasi Hills","2","0","0","47063","1074","19","6"
"Eastern West Khasi Hills","0","0","0","140","8","0","0"
"North Garo Hills","0","0","0","1880","9","1","0"
"Ri-Bhoi","0","0","0","10304","97","5","0"
"South Garo Hills","0","0","0","1343","13","2","0"
"South West Garo Hills","0","0","0","2091","20","2","0"
"South West Khasi Hills","0","0","0","2697","20","1","0"
"West Garo Hills","0","4","0","10718","80","5","2"
"West Jaintia Hills","0","2","0","7185","139","6","0"
"West Khasi Hills","0","0","0","5649","76","5","0"
"Total","2","6","0","93730","1591","50","8"
