"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1895904*","20886368*"
"2","Total No. of patients tested Positive","24536","785064"
"3","No. of patients discharged","24138","764412"
"4","Total Deaths reported","207","20512"
"5","Sample collected on the day","","5779"
"6","Test conducted on the day","","5633"
"7","Positive cases on the day","","17"
"8","Number of active Cases","","140"
"9","No. of Patients on oxygen support","","3"
"10","Patients at critical care Level-3 facilities","","0"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","1"
"13","Total Healthcare Workers vaccinated with 1st dose","","218891"
"14","Frontline Workers vaccinated with 1st dose on the day","","1"
"15","Total Frontline Workers vaccinated with 1st dose","","1117952"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","3"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211995"
"18","Frontline Workers vaccinated with 2nd dose on the day","","2"
"19","Total Frontline Workers vaccinated with 2nd dose","","1019344"
"20","Above 45 Vaccinated with 1st dose on the day","","15"
"21","Total Above 45 Vaccinated with 1st dose","","8347032"
"22","Above 45 Vaccinated with 2nd dose on the day","","30"
"23","Total Above 45 Vaccinated with 2nd dose","","7653651"
"24","18-44 years age group Vaccinated with 1st dose on the day","","20"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12662923"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","150"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10703046"
"28","15-17 years age group Vaccinated with 1st dose on the day","","35"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1115212"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","200"
"31","Total 15-17 years age group Vaccinated with 2nddose","","865818"
"32","12-14 years age group Vaccinated with 1st dose on the day","","100"
"33","Total 12-14 years age group Vaccinated with 1st dose","","681722"
"34","12-14 years age group Vaccinated with 2nddose on the day","","450"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","492752"
"36","Precautionary dose given on the day","","1000"
"37","Total Precautionary dose given","","1803967"
"38","Total Vaccination 1st dose on the day","","37"
"39","Total Vaccination 2nd dose on the day","","185"
"40","Total Vaccination 1st and 2nd dose on the day","","222"
