"35","Ernakulam","Thrikkakkara (M)","8"
"36","Ernakulam","Aikkaranad","4"
"37","Ernakulam","Avoli","7"
"38","Ernakulam","Ayampuzha","9"
"39","Ernakulam","Chendhamangalm","3"
"40","Ernakulam","Chittattukara","14, 2, 4"
"41","Ernakulam","Kadamakkudi","13, 8"
"42","Ernakulam","Kalloorkkadu","12, 5, 8"
"43","Ernakulam","Kottuvally","1, 7"
"44","Ernakulam","Kuttambuzha","10"
"45","Ernakulam","Kuzhuppally","1, 12, 9"
"46","Ernakulam","Maneed","3"
"47","Ernakulam","Manjalloor","13"
"48","Ernakulam","Marady","2"
"49","Ernakulam","Nayarambalam","5"
"50","Ernakulam","Njarakkal","5"
"51","Ernakulam","Palakkuzha","6"
"52","Ernakulam","Pambakkuda","4, 5, 6"
"53","Ernakulam","Pothanikkadu","13, 3, 5, 6"
"54","Ernakulam","Puthenvelikkara","11, 17, 6"
"55","Ernakulam","Thirumaradi","13, 8, 9, 1"
"56","Ernakulam","Thuravur","4"
"57","Ernakulam","Thiruvaniyoor","1, 4"
"58","Ernakulam","Valakom","6"
"59","Thrissur","Thrissur ©","6"
"60","Thrissur","Kodungalloor (M)","31"
"61","Thrissur","Mathilakom","3, 9, 16"
"62","Thrissur","Athirappally","3, 6"
"63","Thrissur","Kaipamangalam","3"
"64","Thrissur","Thanniyam","1, 2, 3, 11, 16"
"65","Thrissur","Kuzhur","11"
"66","Thrissur","Sree Narayanapuram","8, 9"
"67","Kozhikode","Atholi","17"
"68","Kozhikode","Kakkur","11"
"69","Kozhikode","Ulliyeri","4, 8"
"70","Kozhikode","Koodaranji","6"
"71","Wayanad","Kalppatta (M)","23"
"72","Wayanad","Mananthavady (M)","16"
"73","Wayanad","Kottathara","11"
