"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","9,440"
"2","Number of persons tested positive today in Tamil Nadu","575"
"3","Total Number of persons tested positive till date","34,47,581"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","65,988/ 
6,41,52,004@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","65,350/ 
6,29,80,284"
"6","No. of Male / Female / Transgender tested positive today","327/248/0"
"7","No. of Male / Female / Transgender tested positive till date","20,12,237/14,35,306/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","335 (69 Govt+ 
266 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","1,913/ 
34,00,144"
"10","Total number of deaths today/ till date","4(0 Private &  
4 Govt) /37,997"
