,Unnamed: 0,44,Unnamed: 1,अलीगढ,Unnamed: 2,3,Unnamed: 3,1,Unnamed: 4,25454,Unnamed: 5,0,Unnamed: 6,113,Unnamed: 7,16,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,,45,,फर्रखाबाद,,0.0,,2.0,,11864.0,,0.0,,197.0,,15.0,,,,,
1,,46,,शाहजहांपरु,,1.0,,5.0,,24379.0,,0.0,,447.0,,15.0,,,,,
2,,47,,इटावा,,3.0,,1.0,,15760.0,,0.0,,296.0,,14.0,,,,,
3,,48,,महोबा,,2.0,,0.0,,4457.0,,0.0,,88.0,,13.0,,,,,
4,,49,,गोंडा,,1.0,,3.0,,14097.0,,0.0,,284.0,,12.0,,,,,
5,,50,,मजुफ्फरनगर,,0.0,,3.0,,38302.0,,0.0,,277.0,,12.0,,,,,
6,,51,,अयोध्या,,0.0,,0.0,,18655.0,,0.0,,293.0,,11.0,,,,,
7,,52,,मऊ,,0.0,,0.0,,8922.0,,0.0,,86.0,,11.0,,,,,
8,,53,,चचत्रकूट,,0.0,,1.0,,7740.0,,0.0,,79.0,,10.0,,,,,
9,,54,,बस्ती,,0.0,,2.0,,12772.0,,0.0,,336.0,,9.0,,,,,
10,,55,,पीलीभीत,,0.0,,2.0,,12713.0,,0.0,,205.0,,9.0,,,,,
11,,56,,सीतापरु,,0.0,,5.0,,15739.0,,0.0,,187.0,,9.0,,,,,
12,,57,,बागपत,,1.0,,9.0,,11023.0,,0.0,,143.0,,8.0,,,,,
13,,58,,बलरामपरु,,0.0,,2.0,,8104.0,,0.0,,139.0,,8.0,,,,,
14,,59,,भदोही,,0.0,,3.0,,8461.0,,0.0,,165.0,,8.0,,,,,
15,,60,,चदंौली,,0.0,,3.0,,17519.0,,0.0,,378.0,,8.0,,,,,
16,,61,,बबजनौर,,1.0,,0.0,,18276.0,,0.0,,139.0,,7.0,,,,,
17,,62,,गाजीपरु,,2.0,,1.0,,23861.0,,0.0,,295.0,,7.0,,,,,
18,,63,,हापड़ु,,0.0,,0.0,,15181.0,,0.0,,224.0,,7.0,,,,,
19,,64,,शामली,,0.0,,2.0,,16684.0,,0.0,,48.0,,7.0,,,,,
20,,65,,अमठेी,,1.0,,8.0,,11471.0,,0.0,,145.0,,6.0,,,,,
21,,66,,औरैय्या,,0.0,,1.0,,10774.0,,0.0,,211.0,,6.0,,,,,
22,,67,,बललया,,0.0,,1.0,,22508.0,,0.0,,245.0,,6.0,,,,,
23,,68,,रामपरु,,0.0,,0.0,,14599.0,,0.0,,153.0,,6.0,,,,,
24,,69,,बदाय,,1.0,,2.0,,17906.0,,0.0,,101.0,,5.0,,,,,
25,,70,,हाथरस,,0.0,,0.0,,3712.0,,0.0,,43.0,,4.0,,,,,
26,,71,,कानपरु देहात,,0.0,,3.0,,7120.0,,0.0,,110.0,,4.0,,,,,
27,,72,,श्रावस्ती,,0.0,,1.0,,5230.0,,0.0,,41.0,,4.0,,,,,
28,,73,,कासगजं,,0.0,,2.0,,4878.0,,0.0,,55.0,,3.0,,,,,
29,,74,,मरुादाबाद,,0.0,,2.0,,46066.0,,0.0,,367.0,,2.0,,,,,
30,,75,,लमर्ापरु,,1.0,,6.0,,11949.0,,1.0,,126.0,,1.0,,,,,
31,,Total,,,,,,,217.0,,505.0,,2041831.0,,2.0,,23468.0,,3006.0,,
32,,कोविड धनात्मक रोवियो ने कुल मृतु्य - 23468 इन रोवियो म मृतु्य का सही कारण मृतु्य ऑवडट के उपरात वनधाररत होिा),,,,,,,,,,,,,,,,,,,
