"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","402088","19390949"
"2","Total No. of patients tested Positive","918","759995"
"3","No. of patients discharged","831","742081"
"4","Total Deaths reported","4","17751"
"5","Sample collected on the day","","12007"
"6","Test conducted on the day","","11891"
"7","Positive cases on the day","","19"
"8","Number of active Cases","","163"
"9","No. of Patients on oxygen support","","1"
"10","Patients at critical care Level-3 facilities","","0"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","2"
"13","Total Healthcare Workers vaccinated with 1st dose","","218580"
"14","Frontline Workers vaccinated with 1st dose on the day","","7"
"15","Total Frontline Workers vaccinated with 1st dose","","1117136"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","17"
"17","Total Healthcare Workers vaccinated with 2nd dose","","209743"
"18","Frontline Workers vaccinated with 2nd dose on the day","","93"
"19","Total Frontline Workers vaccinated with 2nd dose","","1010926"
"20","Above 45 Vaccinated with 1st dose on the day","","5562"
"21","Total Above 45 Vaccinated with 1st dose","","8298239"
"22","Above 45 Vaccinated with 2nd dose on the day","","12128"
"23","Total Above 45 Vaccinated with 2nd dose","","7094559"
"24","18-44 years age group Vaccinated with 1st dose on the day","","12140"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12507167"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","24609"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","9529382"
"28","15-17 years age group Vaccinated with 1st dose on the day","","2878"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1050760"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","7100"
"31","Total 15-17 years age group Vaccinated with 2nddose","","645122"
"32","12-14 years age group Vaccinated with 1st dose on the day","","8454"
"33","Total 12-14 years age group Vaccinated with 1st dose","","509732"
"34","12-14 years age group Vaccinated with 2nddose on the day","","11089"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","185919"
"36","Precautionary dose given on the day","","3501"
"37","Total Precautionary dose given","","580865"
"38","Total Vaccination 1st dose on the day","","17711"
"39","Total Vaccination 2nd dose on the day","","36847"
"40","Total Vaccination 1st and 2nd dose on the day","","54558"
