"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","121","109898","108","107597","1","2280","21"
"2","SAS Nagar","209","95900","153","94686","0","1148","66"
"3","Jalandhar","91","78363","73","76773","0","1578","12"
"4","Patiala","197","62229","182","60754","0","1458","17"
"5","Amritsar","49","59444","37","57745","0","1682","17"
"6","Bathinda","29","50899","30","49808","0","1088","3"
"7","Hoshiarpur","47","40885","57","39789","0","1096","0"
"8","Gurdaspur","14","26953","11","26084","1","865","4"
"9","Pathankot","32","24566","35","24068","0","495","3"
"10","Fazilka","15","23413","27","22866","0","545","2"
"11","Muktsar","6","22560","11","22021","0","539","0"
"12","Kapurthala","26","22059","19","21471","1","583","5"
"13","Ropar","10","17948","9","17492","0","455","1"
"14","Ferozepur","9","17908","9","17369","0","537","2"
"15","Mansa","4","17232","3","16839","0","392","1"
"16","Faridkot","20","16803","23","16464","0","338","1"
"17","Sangrur","0","14308","0","13573","0","735","0"
"18","SBS Nagar","19","13421","20","13008","0","409","4"
"19","FG Sahib","8","11842","7","11487","0","354","1"
"20","Moga","3","10991","3","10734","1","255","2"
"21","Tarn Taran","2","10901","2","10507","0","394","0"
"22","Barnala","7","7505","12","7155","0","349","1"
"23","Malerkotla","0","3967","0","3791","0","176","0"
"","Total","918","759995","831","742081","4","17751","163"
