"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","184745","19173605"
"2","Total No. of patients tested Positive","262","759355"
"3","No. of patients discharged","238","741488"
"4","Total Deaths reported","2","17744"
"5","Sample collected on the day","","10014"
"6","Test conducted on the day","","9930"
"7","Positive cases on the day","","23"
"8","Number of active Cases","","123"
"9","No. of Patients on oxygen support","","2"
"10","Patients at critical care Level-3 facilities","","0"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","3"
"13","Total Healthcare Workers vaccinated with 1st dose","","218518"
"14","Frontline Workers vaccinated with 1st dose on the day","","6"
"15","Total Frontline Workers vaccinated with 1st dose","","1116937"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","30"
"17","Total Healthcare Workers vaccinated with 2nd dose","","209147"
"18","Frontline Workers vaccinated with 2nd dose on the day","","88"
"19","Total Frontline Workers vaccinated with 2nd dose","","1008656"
"20","Above 45 Vaccinated with 1st dose on the day","","578"
"21","Total Above 45 Vaccinated with 1st dose","","8274645"
"22","Above 45 Vaccinated with 2nd dose on the day","","8438"
"23","Total Above 45 Vaccinated with 2nd dose","","6898365"
"24","18-44 years age group Vaccinated with 1st dose on the day","","1671"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12444712"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","18782"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","9106030"
"28","15-17 years age group Vaccinated with 1st dose on the day","","2394"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1003436"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","4987"
"31","Total 15-17 years age group Vaccinated with 2nddose","","548059"
"32","12-14 years age group Vaccinated with 1st dose on the day","","5577"
"33","Total 12-14 years age group Vaccinated with 1st dose","","377322"
"34","12-14 years age group Vaccinated with 2nddose on the day","","4902"
"35","Total 12-14 years age group Vaccinated with 2nddose","","19410"
"36","Precautionary dose given on the day","","4693"
"37","Total Precautionary dose given","","499017"
"38","Total Vaccination 1st dose on the day","","2258"
"39","Total Vaccination 2nd dose on the day","","27338"
"40","Total Vaccination 1st and 2nd dose on the day","","29596"
