"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total
Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","50","109827","34","107523","1","2280","24"
"2","SAS Nagar","42","95733","30","94563","0","1148","22"
"3","Jalandhar","41","78318","27","76727","0","1578","13"
"4","Patiala","13","62050","14","60586","0","1458","6"
"5","Amritsar","10","59405","10","57718","0","1682","5"
"6","Bathinda","9","50880","12","49790","0","1088","2"
"7","Hoshiarpur","31","40869","21","39753","0","1096","20"
"8","Gurdaspur","7","26947","6","26079","1","865","3"
"9","Pathankot","12","24548","13","24046","0","495","7"
"10","Fazilka","2","23400","16","22855","0","545","0"
"11","Muktsar","4","22558","7","22017","0","539","2"
"12","Kapurthala","14","22047","13","21465","0","579","3"
"13","Ropar","2","17940","2","17485","0","455","0"
"14","Ferozepur","5","17904","5","17365","0","537","2"
"15","Mansa","1","17229","1","16837","0","392","0"
"16","Faridkot","4","16790","8","16449","0","338","3"
"17","Sangrur","0","14308","0","13573","0","735","0"
"18","SBS Nagar","8","13410","10","12998","0","407","5"
"19","FG Sahib","4","11838","1","11481","0","354","3"
"20","Moga","0","10987","2","10733","0","254","0"
"21","Tarn Taran","1","10900","0","10505","0","394","1"
"22","Barnala","2","7500","6","7149","0","349","2"
"23","Malerkotla","0","3967","0","3791","0","176","0"
"","Total","262","759355","238","741488","2","17744","123"
