"S. No","Subject","Number"
"1","Total Number of people vaccinated on 15th Jan","6,58,382"
"2","First Dose on 15th Jan","1,84,559"
"3","Second Dose on 15th Jan","4,30,219"
"4","Precaution Dose on 15th Jan","43,604"
"5","Cumulative Vaccination till 15th Jan","11,22,85,319"
"6","Cumulative Vaccination First Dose","6,76,44,842"
"7","Cumulative Vaccination Second Dose","4,44,34,059"
"8","Cumulative Precaution Dose","2,06,418"
"9","Number of CVC (Common Vaccination Centres)","5,600"
"10","Cumulative AEFI cases reported","6,589"
"11","Vaccine wastage","-7%"
