"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23331","","5284","","28615",""
"2","Total Active Cases","61 
(0.26%)","","00 
(0%)","","61 
(0.21%)",""
"3","Total Cured/Discharged","23102 
(99.02%)","","5224 
(98.9%)","","28326 
(98.9%)",""
"4","Total Died","168 
(0.72%)","","60 
(1.1%)","","228 
(0.79%)",""
"5","Total Positive cases admitted in COVID 
Hospital","20","","00","","20",""
"6","Total Positive cases in Home Isolation","36","","00","","36",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","05","","00","","05",""
"9","No. of Samples Tested (Today)","593","","46","","639",""
"10","No. of Samples Positive (Today)","13","","00","","13",""
"11","No. of Samples Negative (Today)","579","","46","","625",""
"12","Repeat Positive/ Resampling (Today)","01","","00","","01",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","137 
35 
17 
02 
191"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(14/07/2022)","","Test Done Today 
(15/07/2022)","","Cumulative"
"","","a)RTPCR","329409","","168","","329577"
"","","b)TRUENAT","14507","","17","","14524"
"","","c)RAT","351654","","454","","352108"
"","","d)  CBNAAT","1105","","00","","1105"
"","","TOTAL","696675","","639","","697314"
