"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"11","Solapur","227067","221186","5877","4"
"12","Nashik","472874","463947","8910","17"
"13","Ahmednagar","377710","370445","7242","23"
"14","Jalgaon","149527","146764","2761","2"
"15","Nandurbar","46615","45653","962","0"
"16","Dhule","50757","50086","670","1"
"17","Aurangabad","176535","172249","4284","2"
"18","Jalna","66328","65104","1224","0"
"19","Beed","109200","106304","2883","13"
"20","Latur","104917","102428","2489","0"
"21","Parbhani","58563","57282","1279","2"
"22","Hingoli","22175","21661","514","0"
"23","Nanded","102668","99961","2704","3"
"24","Osmanabad","75159","73020","2139","0"
"25","Amravati","105946","104321","1624","1"
"26","Akola","66181","64711","1470","0"
"27","Washim","45630","44987","641","2"
"28","Buldhana","92020","91184","836","0"
"29","Yavatmal","81981","80160","1820","1"
"30","Nagpur","576418","567191","9215","12"
"31","Wardha","65675","64264","1408","3"
"32","Bhandara","67942","66800","1142","0"
"33","Gondia","45421","44834","587","0"
"34","Chandrapur","98828","97232","1592","4"
