"LABORATORY DATA","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","New Genome Sequencing details till today","","","","","","","","",""
"","Alpha / B.1.1.7","","","","155","","","","",""
"","Beta / B.1.351","","","","08","","","","",""
"","Delta / B.1.617.2","","","","1679","","","","",""
"","Delta plus / B.1.617.2.1(AY.1)","","","","04","","","","",""
"","Delta sub-lineage AY.4","","","","256","","","","",""
"","Delta sub-lineage AY.12","","","","15","","","","",""
"","Kappa / B.1.617.1","","","","160","","","","",""
"","ETA / B.1.525","","","","01","","","","",""
"*Data received from SSU. 
 
 
Date: 26-10-2021 
 Page 2 of 8","","","","","","","","","",""
