"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"11","Solapur","227056","221173","5876","7"
"12","Nashik","472848","463928","8910","10"
"13","Ahmednagar","377666","370410","7242","14"
"14","Jalgaon","149525","146764","2761","0"
"15","Nandurbar","46615","45652","962","1"
"16","Dhule","50752","50081","670","1"
"17","Aurangabad","176522","172237","4284","1"
"18","Jalna","66324","65098","1224","2"
"19","Beed","109179","106294","2883","2"
"20","Latur","104917","102428","2489","0"
"21","Parbhani","58553","57271","1278","4"
"22","Hingoli","22172","21656","514","2"
"23","Nanded","102664","99958","2704","2"
"24","Osmanabad","75153","73013","2139","1"
"25","Amravati","105944","104321","1623","0"
"26","Akola","66181","64711","1470","0"
"27","Washim","45623","44981","641","1"
"28","Buldhana","92008","91171","836","1"
"29","Yavatmal","81979","80159","1820","0"
"30","Nagpur","576392","567169","9215","8"
"31","Wardha","65669","64261","1408","0"
"32","Bhandara","67941","66799","1142","0"
"33","Gondia","45421","44834","587","0"
"34","Chandrapur","98822","97228","1592","2"
