"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23020","","5283","","28303",""
"2","Total Active Cases","26 
(0.11%)","","02 
(0.04%)","","28 
(0.09%)",""
"3","Total Cured/Discharged","22826 
(99.15%)","","5221 
(98.8%)","","28047 
(99.1%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","02","","02","","04",""
"6","Total Positive cases in Home Isolation","24","","00","","24",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","00","","00","","00",""
"9","No. of Samples Tested (Today)","200","","21","","221",""
"10","No. of Samples Positive (Today)","07","","00","","07",""
"11","No. of Samples Negative (Today)","192","","21","","213",""
"12","Repeat Positive/ Resampling (Today)","01","","00","","01",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","62 
12 
04 
03 
81"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(14/06/2022)","","Test Done Today 
(15/06/2022)","","Cumulative"
"","","a)RTPCR","324384","","174","","324558"
"","","b)TRUENAT","14192","","09","","14201"
"","","c)RAT","349834","","38","","349872"
"","","d)  CBNAAT","1105","","00","","1105"
"","","TOTAL","689515","","221","","689736"
