"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","321"
"2","Number of persons tested positive today in Tamil Nadu","46"
"3","Total Number of persons tested positive till date","34,54,847"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","14,352/ 
6,64,90,472@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","14,339/ 
6,53,13,299"
"6","No. of Male / Female / Transgender tested positive today","28/18/0"
"7","No. of Male / Female / Transgender tested positive till date","20,16,258/14,38,551/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","335 (69 Govt+ 
266Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","40/ 
34,16,501"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
