"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","41,699"
"2","Number of persons tested positive today in Tamil Nadu","2,296"
"3","Total Number of persons tested positive till date","34,36,262"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,02,916/ 
6,32,95,789@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,00,173/ 
6,21,38,568"
"6","No. of Male / Female / Transgender tested positive today","1,383/913/0"
"7","No. of Male / Female / Transgender tested positive till date","20,05,568/14,30,656/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","333 (69 Govt+ 
264 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","8,229/ 
33,56,648"
"10","Total number of deaths today/ till date","11(4 Private &  
7 Govt) /37,915"
