"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","705","14","0","45","64"
"2","ALWAR","957","15","0","41","116"
"3","BANSWARA","86","0","0","7","7"
"4","BARAN","394","2","0","2","5"
"5","BARMER","57","1","0","0","4"
"6","BHARATPUR","157","6","0","2","22"
"7","BHILWARA","303","0","0","18","18"
"8","BIKANER","523","5","0","6","33"
"9","BUNDI","115","0","0","3","6"
"10","CHITTORGARH","325","7","0","27","43"
"11","CHURU","202","0","0","0","0"
"12","DAUSA","683","3","0","12","85"
"13","DHOLPUR","380","6","0","2","10"
"14","DUNGARPUR","188","7","0","29","21"
"15","GANGANAGAR","193","0","0","0","1"
"16","HANUMANGARH","235","0","0","4","8"
"17","JAIPUR","1559","35","0","183","267"
"18","JAISALMER","7","3","0","0","13"
"19","JALORE","172","2","0","2","3"
"20","JHALAWAR","474","1","0","2","16"
"21","JHUNJHUNU","369","0","0","4","8"
"22","JODHPUR","318","9","0","74","108"
"23","KARAULI","177","0","0","0","0"
"24","KOTA","879","9","0","4","45"
"25","NAGAUR","269","12","0","7","58"
"26","PALI","895","0","0","38","37"
