"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22947","","5275","","28222",""
"2","Total Active Cases","12 
(0.05%)","","00 
(0%)","","12 
(0.04%)",""
"3","Total Cured/ Discharged","22767 
(99.2%)","","5215                                  
(98.9%)","","(99.2%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","06","","0","","06",""
"6","Total Positive cases in Home Isolation","06","","00","","06",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","00","","00","","00",""
"9","No. of Samples Tested (Today)","207","","102","","309",""
"10","No. of Samples Positive (Today)","02","","00","","02",""
"11","No. of Samples Negative (Today)","205","","102","","307",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","180 
        00 
        00 
        45 
       225"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(28/03/2022)","","Test Done Today 
(29/03/2022)","","Cumulative"
"","","a)  RTPCR","315618","","232","","315850"
"","","b)  TRUENAT","12929","","44","","12973"
"","","c)  RAT","347463","","29","","347492"
"","","d)  CBNAAT","952","","04","","956"
"","","TOTAL","676962","","309","","677271"
