"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","0","35184","0","34845","6","0","333","0"
"2","Ballari","1","97799","0","96004","109","0","1686","0"
"3","Belagavi","2","79996","2","78980","72","0","944","0"
"4","Bengaluru Rural","5","62103","1","61172","41","0","890","0"
"5","Bengaluru Urban","212","1257035","185","1235643","5049","2","16342","1"
"6","Bidar","0","24348","0","23940","2","0","402","4"
"7","Chamarajanagara","3","33087","4","32528","45","0","503","11"
"8","Chikkaballapura","1","43976","1","43538","6","0","431","1"
"9","Chikkamagaluru","2","51218","2","50783","39","0","396","0"
"10","Chitradurga","2","36735","3","36484","42","0","209","0"
"11","Dakshina 
Kannada","10","115924","10","114089","141","0","1687","7"
"12","Davanagere","2","51011","2","50388","15","0","608","0"
"13","Dharwada","18","61344","1","59705","315","0","1322","2"
"14","Gadag","0","26073","0","25749","5","0","319","0"
"15","Hassana","11","112087","14","110742","84","0","1259","2"
"16","Haveri","8","21958","0","21305","10","0","643","0"
"17","Kalaburagi","1","61955","1","61125","8","0","822","0"
"18","Kodagu","0","37269","0","36858","79","0","331","1"
"19","Kolara","0","47023","0","46359","23","1","641","0"
"20","Koppala","0","35207","0","34662","18","0","527","0"
"21","Mandya","2","73861","3","73183","23","1","655","0"
"22","Mysuru","45","179882","10","177144","316","0","2422","0"
"23","Raichuru","0","39981","0","39647","1","0","333","0"
"24","Ramanagara","0","24215","0","23888","4","0","323","0"
"25","Shivamogga","33","69596","3","68366","140","0","1090","0"
"26","Tumakuru","30","121137","6","119851","149","0","1137","0"
"27","Udupi","19","76938","7","76361","89","0","488","0"
"28","Uttara Kannada","6","56442","0","55607","62","0","773","0"
"29","Vijayapura","0","36278","0","35781","2","0","495","0"
"30","Yadagiri","0","27548","1","27341","1","0","206","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","413","2997246","256","2952101","6896","4","38220","29"
"*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
 
Date: 03-12-2021 
 Page 5 of 8","","","","","","","","",""
