"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"11","Solapur","227158","221232","5879","47"
"12","Nashik","473332","464201","8911","220"
"13","Ahmednagar","377887","370571","7242","74"
"14","Jalgaon","149620","146833","2762","25"
"15","Nandurbar","46623","45657","962","4"
"16","Dhule","50804","50122","670","12"
"17","Aurangabad","176691","172341","4284","66"
"18","Jalna","66345","65113","1224","8"
"19","Beed","109231","106341","2885","5"
"20","Latur","105022","102474","2489","59"
"21","Parbhani","58597","57306","1279","12"
"22","Hingoli","22197","21668","514","15"
"23","Nanded","102712","99988","2704","20"
"24","Osmanabad","75214","73049","2139","26"
"25","Amravati","106016","104370","1624","22"
"26","Akola","66256","64742","1470","44"
"27","Washim","45735","45039","641","55"
"28","Buldhana","92072","91203","836","33"
"29","Yavatmal","82008","80167","1820","21"
"30","Nagpur","577208","567643","9215","350"
"31","Wardha","65733","64300","1408","25"
"32","Bhandara","68019","66845","1142","32"
"33","Gondia","45447","44848","587","12"
"34","Chandrapur","98938","97298","1592","48"
