"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","5,339"
"2","Number of persons tested positive today in Tamil Nadu","534"
"3","Total Number of persons tested positive till date","35,66,635"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","22,527/ 
6,88,21,495@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","22,326/ 
6,76,08,737"
"6","No. of Male / Female / Transgender tested positive today","323/211/0"
"7","No. of Male / Female / Transgender tested positive till date","20,79,920/14,86,677/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","347 (78 Govt+ 
269  Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","602/ 
35,23,262"
"10","Total number of deaths today/ till date","0 (0 Private & 
0 Govt) /38,034"
