"D
      
GOVERNMENT OF KARNATAKA 
 
DEPARTMENT OF HEALTH & FAMILY WELFARE 
 
COVID-19 
 
MEDIA BULLETIN 
ATE: 20.09.2022","","","","","",""
"","","","","","",""
"","The first case of Corona Virus infection, which has caused a pandemic  resulting in catastrophic 
health 
implications  and  human  miseries 
throughout 
the  globe,  was  detected 
in 
state  on 
08.03.2020. It was a case of international traveler returning to Bengaluru Urban. 
A robust surveillance system with elaborate contingency plan is in place for limiting the spread of 
the disease.  
In  the  fight  against  COVID-19  pandemic  an  effective 
intervention  in 
the  form  of  COVID 
vaccination  has  been  implemented  in  Karnataka  since  January  16th  2021  as  per  Government  of 
India operational guidelines. 
The state is addressing the ongoing challenge of COVID 19 through the 5 pillars of Management 
i.e., “Test- Track- Treat- Vaccinate and Adherence to COVID Appropriate Behaviour”.","","","","",""
"","","","","","",""
"","","1","Today’s Discharges","500","",""
"","","2","Total Discharges","4018372","",""
"","","3","Today's Tests Conducted","23969","",""
"","","4","Total Tests Conducted","68994948","",""
"","","5","Today’s New Cases Reported (19.09.2022, 00:00 to 23:59)","368","",""
"","","6","Total Active Cases","3434","",""
"","","7","Today's Deaths Reported","2","",""
"","","8","Total Covid Deaths","40236","",""
"","","9","Total Positive Cases","4062084","",""
"","","10","Positivity Rate for the day (19.09.2022, 00:00 to 23:59)","1.53%","",""
"","","11","*Weekly Total Positivity Rate","2.20%","",""
"","","12","Case Fatality Rate (CFR) for the day (19.09.2022, 00:00 to 23:59)","0.54%","",""
"","","13","*Weekly Case Fatality Rate","0.38%","",""
"*From 14-09-2022 to 20-09-2022 
Particulars 
Today’s 
Cumulative 
5056* 
1511947 
A 
Total Passengers screened at Air ports 
          *Date: 19-09-2022  
 
Date: 20-09-2022 
Page 1 of 8","","","","","",""
