"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","21681","","4879","","26560",""
"2","Total Active Cases","705 
(3.3%)","","442 
(9.1%)","","1147 
(4.3%)",""
"3","Total Cured/ Discharged","20809 
(95.9%)","","4378                                  
(89.7%)","","(94.8%)",""
"4","Total Died","167 
(0.77%)","","59 
(1.2%)","","226 
(0.85%)",""
"5","Total Positive cases admitted in COVID 
Hospital","15","","8","","23",""
"6","Total Positive cases in Home Isolation","596","","433","","1029",""
"7","COVID Care Centre","83","","01","","84",""
"8","Facility Isolation","11","","0","","11",""
"9","No. of Samples Tested (Today)","608","","633","","1241",""
"10","No. of Samples Positive (Today)","95","","65","","160",""
"11","No. of Samples Negative (Today)","513","","568","","1081",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","20 
          00 
      00 
           42 
            62"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(02/01/2022)","","Test Done Today 
(03/02/2022)","","Cumulative"
"","","a)  RTPCR","279231","","1050","","280281"
"","","b)  TRUENAT","11733","","27","","11760"
"","","c)  RAT","344073","","164","","344237"
"","","d)  CBNAAT","389","","00","","389"
"","","TOTAL","635426","","1241","","636667"
