"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","5,496"
"2","Number of persons tested positive today in Tamil Nadu","542"
"3","Total Number of persons tested positive till date","35,65,562"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","24,337/ 
6,87,75,737@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","24,112/ 
6,75,63,389"
"6","No. of Male / Female / Transgender tested positive today","319/223/0"
"7","No. of Male / Female / Transgender tested positive till date","20,79,274/14,86,250/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","347 (78 Govt+ 
269  Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","675/ 
35,22,032"
"10","Total number of deaths today/ till date","1 (0 Private & 
1 Govt) /38,034"
