"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","0","35180","0","34844","3","0","333","0"
"2","Ballari","0","97786","2","95989","111","0","1686","0"
"3","Belagavi","2","79949","1","78948","59","0","942","0"
"4","Bengaluru Rural","2","62071","2","61125","56","0","890","0"
"5","Bengaluru Urban","144","1254786","235","1232507","5958","2","16320","1"
"6","Bidar","0","24343","0","23937","1","0","401","4"
"7","Chamarajanagara","3","33029","1","32492","23","1","503","11"
"8","Chikkaballapura","0","43968","0","43529","7","0","431","1"
"9","Chikkamagaluru","3","51180","4","50734","50","0","396","0"
"10","Chitradurga","3","36700","3","36460","32","0","208","0"
"11","Dakshina 
Kannada","12","115718","14","113919","107","0","1685","7"
"12","Davanagere","0","50998","0","50376","14","0","608","0"
"13","Dharwada","7","61022","0","59676","26","0","1318","2"
"14","Gadag","1","26067","0","25747","1","0","319","0"
"15","Hassana","11","111971","12","110607","105","0","1257","2"
"16","Haveri","1","21948","0","21304","1","0","643","0"
"17","Kalaburagi","0","61947","3","61115","12","0","820","0"
"18","Kodagu","11","37195","7","36796","68","0","330","1"
"19","Kolara","0","46998","5","46315","47","0","636","0"
"20","Koppala","0","35198","0","34661","11","1","526","0"
"21","Mandya","5","73830","9","73149","27","0","654","0"
"22","Mysuru","5","179499","7","176920","158","0","2421","0"
"23","Raichuru","0","39979","0","39645","2","0","332","0"
"24","Ramanagara","0","24212","1","23886","4","0","322","0"
"25","Shivamogga","1","69504","4","68324","90","0","1090","0"
"26","Tumakuru","14","120998","7","119728","136","0","1134","0"
"27","Udupi","5","76829","4","76284","57","0","488","0"
"28","Uttara Kannada","10","56374","7","55519","83","0","772","0"
"29","Vijayapura","1","36277","1","35776","6","0","495","0"
"30","Yadagiri","1","27547","0","27338","3","0","206","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","242","2993139","329","2947683","7258","4","38169","29"
"*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
Date: 19-11-2021 
Page 5 of 8","","","","","","","","",""
