"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","5,297"
"2","Number of persons tested positive today in Tamil Nadu","528"
"","Passengers returned from other states  by Road tested 
positive today","Jharkhand-1"
"","Total","529"
"3","Total Number of persons tested positive till date","35,79,368"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","16,927/ 
6,93,14,622@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","16,773/ 
6,80,97,608"
"6","No. of Male / Female / Transgender tested positive today","265/264/0"
"7","No. of Male / Female / Transgender tested positive till date","20,87,156/14,92,174/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","347 (78 Govt+ 
269  Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","463/ 
35,36,027"
"10","Total number of deaths today/ till date","2 (0 Private & 
2 Govt) /38,044"
