"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","232"
"2","Number of persons tested positive today in Tamil Nadu","26"
"","Passengers returned from other countries  by 
International airport tested positive today","UAE-1"
"","Total","27"
"3","Total Number of persons tested positive till date","34,53,290"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","14,331/ 
6,59,51,259@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","14,322/ 
6,47,74,576"
"6","No. of Male / Female / Transgender tested positive today","16/11/0"
"7","No. of Male / Female / Transgender tested positive till date","20,15,382/14,37,870/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","335 (69 Govt+ 
266 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","26/ 
34,15,033"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
