"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","19489","","3895","","23384",""
"2","Total Active Cases","702 
(3.6%)","","118 
(3.02%)","","820 
(3.5%)",""
"3","Total Cured/ Discharged","18623 
(95.6%)","","3719                                  
(95.5%)","","(95.5%)",""
"4","Total Died","164 
(0.84%)","","58 
(1.5%)","","222 
(0.95%)",""
"5","Total Positive cases admitted in COVID 
Hospital","22","","00","","22",""
"6","Total Positive cases in Home Isolation","517","","118","","635",""
"7","COVID Care Centre","105","","0","","105",""
"8","Facility Isolation","58","","0","","58",""
"9","No. of Samples Tested (Today)","788","","140","","928",""
"10","No. of Samples Positive (Today)","156","","19","","175",""
"11","No. of Samples Negative (Today)","631","","121","","752",""
"12","Repeat Positive/ Resampling (Today)","01","","00","","01",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","482 
          00 
      00 
         111 
          593"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(15/01/2022)","","Test Done Today 
(16/01/2022)","","Cumulative"
"","","a)  RTPCR","263488","","799","","264287"
"","","b)  TRUENAT","11383","","11","","11394"
"","","c)  RAT","341200","","95","","341295"
"","","d)  CBNAAT","198","","23","","221"
"","","TOTAL","616269","","928","","617197"
