"Total No. of Sample Taken Today","30686"
"Total No. of Positive Cases Detected Today","90"
"Total Positive Cases under Home Isolation (24-12-2021)","277"
"Total No. of Samples Sent till date","14421408"
"Total No. of Samples found Positive till date","772541 
(M: 471977 
F: 300547 
Transgender: 17)"
"Total Positive COVID-19 Patients Recovered / Discharged till date","762049"
"Total Active COVID-19 Patients","407"
"No. of Deaths","10062"
"Total No. of People Vaccinated today","222356 
(1st Dose: 63758, 
2nd Dose: 158598)"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose","19436495 (94%)"
"Cumulative Coverage of COVID-19 Vaccination – 2nd Dose","13102755 (64%)"
"Cumulative Coverage of Total COVID-19 Vaccination","32539250"
"COVID-19 Today (25-12-2021) Positivity Rate","0.24%"
"COVID-19 Cumulative Positivity Rate","5.37%"
"Recovery Rate","98.64%"
"Fatality Rate","1.30%"
"Tests Per Million Population","568892"
