"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/
Discharged","Cumulative 
Recovered/
Discharged","Active  
case"
"1","AJMER","686203","275","39480","0","411","87","37761","1308"
"2","ALWAR","1359829","767","63134","0","309","144","59768","3057"
"3","BANSWARA","266618","71","10305","0","104","18","9940","261"
"4","BARAN","188056","59","12139","0","61","4","11943","135"
"5","BARMER","355860","335","16767","1","187","1","15404","1176"
"6","BHARATPUR","413963","435","21400","0","260","79","19498","1642"
"7","BHILWARA","438102","239","30892","0","156","31","29725","1011"
"8","BIKANER","636858","678","42788","0","546","219","40143","2099"
"9","BUNDI","195953","34","8091","0","48","0","7919","124"
"10","CHITTORGARH","395753","155","20913","0","139","131","19926","848"
"11","CHURU","361659","82","17054","0","108","4","16621","325"
"12","DAUSA","236715","99","13840","0","62","0","13304","474"
"13","DHOLPUR","242687","61","11155","0","48","0","10970","137"
"14","DUNGARPUR","283605","43","18744","0","131","36","18317","296"
"15","GANGANAGAR","361875","20","19733","0","151","21","19268","314"
"16","HANUMANGARH","432428","217","16544","0","111","9","15984","449"
"17","JAIPUR","2801476","2785","210087","2","1982","1136","189539","18566"
"18","JAISALMER","220228","151","14021","0","66","0","13585","370"
"19","JALORE","405293","0","10070","0","72","0","9996","2"
"20","JHALAWAR","324599","64","13945","0","187","36","13483","275"
"21","JHUNJHUNU","420345","69","15028","1","161","6","14681","186"
"22","JODHPUR","1235617","777","117641","0","1105","440","112741","3795"
"23","KARAULI","198607","0","7164","0","71","2","7092","1"
