"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","796119","9","50019","0","447","16","49509","63"
"2","ALWAR","1627962","7","84917","0","321","3","84559","37"
"3","BANSWARA","322318","1","14782","0","106","0","14672","4"
"4","BARAN","241906","0","15313","0","64","0","15247","2"
"5","BARMER","405911","2","21474","0","205","0","21252","17"
"6","BHARATPUR","476390","0","31453","0","272","0","31180","1"
"7","BHILWARA","510045","7","38277","0","162","0","38074","41"
"8","BIKANER","758732","16","50357","0","590","11","49658","109"
"9","BUNDI","236751","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","454637","0","29436","0","140","1","29284","12"
"11","CHURU","437442","4","20951","0","115","11","20823","13"
"12","DAUSA","297252","0","15889","0","82","1","15798","9"
"13","DHOLPUR","289547","0","13966","0","49","0","13917","0"
"14","DUNGARPUR","328113","0","25505","0","134","0","25365","6"
"15","GANGANAGAR","423438","5","28187","0","158","4","28021","8"
"16","HANUMANGARH","489426","0","22533","0","115","0","22414","4"
"17","JAIPUR","3477114","51","277588","0","2114","44","275104","370"
"18","JAISALMER","242979","0","17036","0","68","0","16968","0"
"19","JALORE","448797","0","10574","0","78","1","10486","10"
"20","JHALAWAR","414049","0","17766","0","207","0","17556","3"
"21","JHUNJHUNU","494132","0","19161","0","181","0","18980","0"
"22","JODHPUR","1434400","24","141533","0","1164","18","140221","148"
"23","KARAULI","243055","0","8969","0","85","0","8884","0"
