"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23364","","5284","","28648",""
"2","Total Active Cases","75 
(0.32%)","","00 
(0%)","","75 
(0.26%)",""
"3","Total Cured/Discharged","23121 
(98.96%)","","5224 
(98.9%)","","28345 
(98.94%)",""
"4","Total Died","168 
(0.72%)","","60 
(1.1%)","","228 
(0.79%)",""
"5","Total Positive cases admitted in COVID 
Hospital","14","","00","","14",""
"6","Total Positive cases in Home Isolation","54","","00","","54",""
"7","COVID Care Centre","01","","00","","01",""
"8","Facility Isolation","06","","00","","06",""
"9","No. of Samples Tested (Today)","212","","15","","227",""
"10","No. of Samples Positive (Today)","13","","00","","13",""
"11","No. of Samples Negative (Today)","199","","15","","214",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","42 
29 
17 
01 
89"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(17/07/2022)","","Test Done Today 
(18/07/2022)","","Cumulative"
"","","a)RTPCR","329786","","171","","329957"
"","","b)TRUENAT","14542","","08","","14550"
"","","c)RAT","352256","","48","","352304"
"","","d)  CBNAAT","1105","","00","","1105"
"","","TOTAL","697689","","227","","697916"
