"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","894","17","0","8","129"
"2","ALWAR","1068","23","0","0","205"
"3","BANSWARA","105","0","0","2","8"
"4","BARAN","511","1","0","1","3"
"5","BARMER","70","1","0","0","13"
"6","BHARATPUR","61","2","0","51","134"
"7","BHILWARA","572","12","0","8","96"
"8","BIKANER","766","4","0","1","36"
"9","BUNDI","53","0","0","6","29"
"10","CHITTORGARH","534","13","0","14","87"
"11","CHURU","250","0","0","0","0"
"12","DAUSA","82","0","0","2","118"
"13","DHOLPUR","568","1","0","16","24"
"14","DUNGARPUR","127","8","0","1","73"
"15","GANGANAGAR","250","0","0","0","8"
"16","HANUMANGARH","515","4","0","7","21"
"17","JAIPUR","2103","57","0","171","818"
"18","JAISALMER","42","1","0","5","19"
"19","JALORE","190","2","0","0","21"
"20","JHALAWAR","54","3","0","2","27"
"21","JHUNJHUNU","578","0","0","0","1"
"22","JODHPUR","741","25","0","37","177"
"23","KARAULI","233","0","0","0","11"
"24","KOTA","599","7","0","5","35"
"25","NAGAUR","718","0","0","12","38"
"26","PALI","736","8","0","1","48"
