"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","18702","","3770","","22472",""
"2","Total Active Cases","244 
(1.3%)","","37 
(0.98%)","","281 
(1.3%)",""
"3","Total Cured/ Discharged","18295 
(97.8%)","","3675                                  
(97.5%)","","(97.8%)",""
"4","Total Died","163 
(0.87%)","","58 
(1.5%)","","221 
(0.98%)",""
"5","Total Positive cases admitted in COVID 
Hospital","13","","00","","13",""
"6","Total Positive cases in Home Isolation","173","","37","","210",""
"7","COVID Care Centre","48","","0","","48",""
"8","Facility Isolation","10","","0","","10",""
"9","No. of Samples Tested (Today)","543","","169","","712",""
"10","No. of Samples Positive (Today)","59","","00","","59",""
"11","No. of Samples Negative (Today)","483","","169","","652",""
"12","Repeat Positive/ Resampling (Today)","01","","00","","01",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","255 
           00 
       00 
            45 
          300"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(07/01/2022)","","Test Done Today 
(08/01/2022)","","Cumulative"
"","","a)  RTPCR","257835","","563","","258398"
"","","b)  TRUENAT","11303","","06","","11309"
"","","c)  RAT","340141","","143","","340284"
"","","d)  CBNAAT","172","","00","","172"
"","","TOTAL","609451","","712","","610163"
