"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22638","","5264","","27902",""
"2","Total Active Cases","268 
(1.2%)","","37 
(0.7%)","","305 
(1.1%)",""
"3","Total Cured/ Discharged","22202 
(98.1%)","","5167                                  
(98.2%)","","(98.1%)",""
"4","Total Died","168 
(0.74%)","","60 
(1.1%)","","228 
(0.82%)",""
"5","Total Positive cases admitted in COVID 
Hospital","10","","0","","10",""
"6","Total Positive cases in Home Isolation","146","","37","","183",""
"7","COVID Care Centre","112","","00","","112",""
"8","Facility Isolation","0","","00","","00",""
"9","No. of Samples Tested (Today)","1392","","170","","1562",""
"10","No. of Samples Positive (Today)","35","","00","","35",""
"11","No. of Samples Negative (Today)","1349","","170","","1519",""
"12","Repeat Positive/ Resampling (Today)","08","","00","","08",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","407 
        00 
        00 
        70 
       477"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(21/01/2022)","","Test Done Today 
(22/02/2022)","","Cumulative"
"","","a)  RTPCR","298851","","1427","","300278"
"","","b)  TRUENAT","12138","","42","","12180"
"","","c)  RAT","346211","","67","","346278"
"","","d)  CBNAAT","758","","26","","784"
"","","TOTAL","657958","","1562","","659520"
