"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22942","","5275","","28217",""
"2","Total Active Cases","24 
(0.10%)","","00 
(0%)","","24 
(0.1%)",""
"3","Total Cured/ Discharged","22750 
(99.2%)","","5215                                  
(98.9%)","","(99.1%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","02","","0","","02",""
"6","Total Positive cases in Home Isolation","18","","00","","18",""
"7","COVID Care Centre","04","","00","","04",""
"8","Facility Isolation","00","","00","","00",""
"9","No. of Samples Tested (Today)","340","","53","","393",""
"10","No. of Samples Positive (Today)","02","","00","","02",""
"11","No. of Samples Negative (Today)","336","","53","","389",""
"12","Repeat Positive/ Resampling (Today)","02","","00","","02",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","176 
        00 
        00 
        05 
       181"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(23/03/2022)","","Test Done Today 
(24/03/2022)","","Cumulative"
"","","a)  RTPCR","313967","","343","","314310"
"","","b)  TRUENAT","12802","","31","","12833"
"","","c)  RAT","347354","","18","","347372"
"","","d)  CBNAAT","931","","01","","932"
"","","TOTAL","675054","","393","","675447"
