"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","20129","19815","47","267"
"2","Chengalpattu","249622","245897","1067","2658"
"3","Chennai","783525","770608","3848","9069"
"4","Coimbatore","336320","332650","1052","2618"
"5","Cuddalore","75186","74101","190","895"
"6","Dharmapuri","36552","36189","80","283"
"7","Dindigul","38383","37518","200","665"
"8","Erode","134418","133205","479","734"
"9","Kallakurichi","36842","36609","18","215"
"10","Kancheepuram","97353","95975","76","1302"
"11","Kanyakumari","88702","87382","235","1085"
"12","Karur","30041","29615","54","372"
"13","Krishnagiri","60731","60074","286","371"
"14","Madurai","92537","91127","174","1236"
"15","Mayiladuthurai","26939","26524","85","330"
"16","Nagapattinam","25771","25362","34","375"
"17","Namakkal","69025","68278","213","534"
"18","Nilgiris","42611","42334","51","226"
"19","Perambalur","14849","14553","47","249"
"20","Pudukottai","35033","34517","90","426"
"21","Ramanathapuram","24952","24564","20","368"
"22","Ranipet","55528","54560","181","787"
"23","Salem","129747","127517","468","1762"
"24","Sivagangai","24707","24346","142","219"
"25","Tenkasi","33628","33008","130","490"
"26","Thanjavur","93095","91919","136","1040"
"27","Theni","51567","50816","218","533"
"28","Thirupathur","35910","35249","28","633"
"29","Thiruvallur","152251","150256","55","1940"
"30","Thiruvannamalai","67835","67094","56","685"
"31","Thiruvarur","48678","48090","115","473"
"32","Thoothukudi","66828","66189","191","448"
"33","Tirunelveli","65243","64540","258","445"
"34","Tiruppur","130985","129748","185","1052"
"35","Trichy","97209","95854","194","1161"
"36","Vellore","57814","56584","67","1163"
"37","Villupuram","55766","55205","194","367"
"38","Virudhunagar","58927","57950","422","555"
"39","Airport Surveillance 
(International)","1379","1374","4","1"
"40","Airport Surveillance 
(Domestic)","1149","1146","2","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","35,48,195","34,98,770","11,392","38,033"
