"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","11,392"
"2","Number of persons tested positive today in Tamil Nadu","1,287"
"","Passengers returned from other states  by Domestic 
airport tested positive today","Delhi-1"
"","Total","1,288"
"3","Total Number of persons tested positive till date","35,48,195"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","31,196/ 
6,82,33,754@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","30,632/ 
6,70,29,158"
"6","No. of Male / Female / Transgender tested positive today","778/510/0"
"7","No. of Male / Female / Transgender tested positive till date","20,68,886/14,79,271/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","345 (77 Govt+ 
268 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","1,691/ 
34,98,770"
"10","Total number of deaths today/ till date","1 (0 Private &  
1 Govt) /38,033"
