"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","7,078"
"2","Number of persons tested positive today in Tamil Nadu","600"
"","Passengers returned from other countries  by 
International airport tested positive today","UAE - 1"
"","Passengers returned from other states  by Domestic 
airport tested positive today","Karnataka - 1"
"","Total","602"
"3","Total Number of persons tested positive till date","27,41,013"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,00,342/ 
5,64,16,650@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,00,112/ 
5,54,79,232"
"6","No. of Male / Female / Transgender tested positive today","351/251/0"
"7","No. of Male / Female / Transgender tested positive till date","15,99,926/11,41,049/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","317 (69 Govt+ 
248 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","691/ 
26,97,244"
"10","Total number of deaths today/ till date","5(2 Private &  
3 Govt) /36,691)"
