"S. No","Subject","Number"
"1","Total Number of people vaccinated on 22nd Feb","3,31,386"
"2","First Dose on 22nd Feb","23,913"
"3","Second Dose on 22nd Feb","2,88,418"
"4","Precaution Dose on 22nd Feb","19,055"
"5","Cumulative Vaccination till 22nd Feb","12,80,51,987"
"6","Cumulative Vaccination First Dose","6,95,95,393"
"7","Cumulative Vaccination Second Dose","5,69,04,548"
"8","Cumulative Precaution Dose","15,52,046"
"9","Number of CVC (Common Vaccination Centres)","4,316"
"10","Cumulative AEFI cases reported","6,940"
"11","Vaccine wastage","-7%"
