"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1373302","20363765"
"2","Total No. of patients tested Positive","18605","779165"
"3","No. of patients discharged","16128","756403"
"4","Total Deaths reported","113","20418"
"5","Sample collected on the day","","8913"
"6","Test conducted on the day","","8684"
"7","Positive cases on the day","","274"
"8","Number of active Cases","","2344"
"9","No. of Patients on oxygen support","","98"
"10","Patients at critical care Level-3 facilities","","26"
"11","Patients who are critical and on ventilator support","","2"
"12","Healthcare Workers vaccinated with 1st dose on the day","","1"
"13","Total Healthcare Workers vaccinated with 1st dose","","218835"
"14","Frontline Workers vaccinated with 1st dose on the day","","0"
"15","Total Frontline Workers vaccinated with 1st dose","","1117795"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","10"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211661"
"18","Frontline Workers vaccinated with 2nd dose on the day","","38"
"19","Total Frontline Workers vaccinated with 2nd dose","","1018089"
"20","Above 45 Vaccinated with 1st dose on the day","","243"
"21","Total Above 45 Vaccinated with 1st dose","","8340224"
"22","Above 45 Vaccinated with 2nd dose on the day","","1835"
"23","Total Above 45 Vaccinated with 2nd dose","","7616220"
"24","18-44 years age group Vaccinated with 1st dose on the day","","856"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12639436"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","4420"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10602827"
"28","15-17 years age group Vaccinated with 1st dose on the day","","235"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1106047"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","649"
"31","Total 15-17 years age group Vaccinated with 2nddose","","837652"
"32","12-14 years age group Vaccinated with 1st dose on the day","","722"
"33","Total 12-14 years age group Vaccinated with 1st dose","","653784"
"34","12-14 years age group Vaccinated with 2nddose on the day","","738"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","441881"
"36","Precautionary dose given on the day","","19703"
"37","Total Precautionary dose given","","1320426"
"38","Total Vaccination 1st dose on the day","","1100"
"39","Total Vaccination 2nd dose on the day","","6303"
"40","Total Vaccination 1st and 2nd dose on the day","","7403"
