"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","*1162249","*20152712"
"2","Total No. of patients tested Positive","10406","770977"
"3","No. of patients discharged","7725","748000"
"4","Total Deaths reported","63","20369"
"5","Sample collected on the day","","4960"
"6","Test conducted on the day","","4999"
"7","Positive cases on the day","","320"
"8","Number of active Cases","","2608"
"9","No. of Patients on oxygen support","","69"
"10","Patients at critical care Level-3 facilities","","10"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","5"
"13","Total Healthcare Workers vaccinated with 1st dose","","218781"
"14","Frontline Workers vaccinated with 1st dose on the day","","2"
"15","Total Frontline Workers vaccinated with 1st dose","","1117671"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","16"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211381"
"18","Frontline Workers vaccinated with 2nd dose on the day","","58"
"19","Total Frontline Workers vaccinated with 2nd dose","","1017038"
"20","Above 45 Vaccinated with 1st dose on the day","","253"
"21","Total Above 45 Vaccinated with 1st dose","","8336378"
"22","Above 45 Vaccinated with 2nd dose on the day","","3074"
"23","Total Above 45 Vaccinated with 2nd dose","","7571737"
"24","18-44 years age group Vaccinated with 1st dose on the day","","953"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12622643"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","6573"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10502377"
"28","15-17 years age group Vaccinated with 1st dose on the day","","367"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1100648"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","1435"
"31","Total 15-17 years age group Vaccinated with 2nddose","","818545"
"32","12-14 years age group Vaccinated with 1st dose on the day","","1148"
"33","Total 12-14 years age group Vaccinated with 1st dose","","634022"
"34","12-14 years age group Vaccinated with 2nddose on the day","","2166"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","416789"
"36","Precautionary dose given on the day","","21269"
"37","Total Precautionary dose given","","972054"
"38","Total Vaccination 1st dose on the day","","1213"
"39","Total Vaccination 2nd dose on the day","","9721"
"40","Total Vaccination 1st and 2nd dose on the day","","10934"
